COUNTRY,ISO3,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Food Security,GBV,Vulnerable Groups,VULNERABILITY (Hazard-independent),Movements,Behaviour,Demographic and co-morbidity,COVID-19 VULNERABILITY,VULNERABILITY,Governance,Institutional,Access to health care,physical Infrastructure,LACK OF COPING CAPACITY (Hazard-independent),COVID-19 LACK OF COPING CAPACITY,LACK OF COPING CAPACITY,INFORM COVID-19 RISK,COVID-19 RISK CLASS,Rank,Human,Children U5,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Population living in slums (% of urban population),Household size,Population,P2P,Covid-19 Hazard & Exposure,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Physicians Density,Hospital bed,Health system capacity,Coverage of DTP3 vaccine,Coverage of measles-containing vaccine,Coverage of pneumococcal conjugate vaccine,Immunization coverage,Per capita public and private expenditure on health care,Maternal Mortality Ratio,Access to health care Index,INFORM Infrastructure,IHR,Operational readiness index,Health capacity specific to Covid-19,Covid-19 Lack of coping capacity,Infrastructure,Human Development Index,Multidimensional Poverty Index,Gender Inequality Index,Gini Index,Inequality,Total public Aid (M US$),Public Aid per capita (US$),Public Aid per capita (US$),Net ODA received (% of GNI),Volume of remittances,Economic Dependency Index,INFORM Socio-Economic Vulnerability,"Total Uprooted people (1,000 people)",Uprooted people (total population),Total/Pop,Total Uprooted people (percentage of the total population),Uprooted people,Estimated number of people living with HIV - Adult (>15) rate,"Number of new HIV infections per 1,000 uninfected population",HIV,Incidence of Tuberculosis,"Malaria incidence per 1,000 population at risk",People requiring interventions against neglected tropical diseases (% of total population),People requiring interventions against neglected tropical diseases,Health Conditions,Food Availability Score,Food Utilization Score,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence,Attitudes towards violence,GBV,INFORM Vulnerable Groups,International tourism(number of arrivals),International tourism(number of arrivals),Air transport(passengers carried),Point of entry,International movements,Access to Cities,Road density,Road density,Internal movements,Movements,Adult literacy rate,Mobile cellular subscriptions,Internet users,Awareness,Trust,Demographic and Co-morbidities,Covid-19 Vulnerability
Bosnia and Herzegovina,BIH,2.1,3,2.1,2.6,2.7,7.1,0.3,1.4,0.5,2.9,2.8,4.6,5.7,9.2,7.2,5.4,6.3,6.3,3.9,3.9,5.2,7.1,6.2,4.1,Medium,91,2.6,4.168,0.5,0.6,0.3,0.5,6,0,4.8,0.8,,2.9,2.1,2.1,6.4,6.2,6.3,6.3,5,5.7,5.35,4.1,3.2,,3.65,6.4,0.1,3.9,3.9,6.7,7.5,7.1,7.1,3.9,2.6,3.4,2.2,2,2.1,526.69072,159.5549952,3.2,1.2,3.5,2.6,2.7,105.239,6.7,0.031880964,7.5,7.1,,,,0.5,,0,0,0.3,2.7,0,,0.5,0.5,2.9,,4.9,,0,2.5,5.9,74.50980392,7.4,6.7,4.6,0.7,4.9,3.1,2.9,8.5,9.2,7.2
Botswana,BWA,3.9,3.4,6.7,0.5,3.5,2.2,4.2,7,,4.8,4.2,2.2,4.6,5.2,4.3,4.3,4.1,4.1,4.8,4.8,4.5,7.4,6.2,4.7,Medium,67,3.4,11.812,2.5,1.6,,2.1,2,6.6,6.9,,3.8,4.8,3.9,3.9,3.9,4.3,4.1,4.1,9.1,7.8,8.45,0.7,4.2,1.7,2.2,7,1.6,4.8,4.8,7.4,,7.4,7.4,4.8,3.4,,6.2,7.1,6.7,141.52,61.43153002,1.2,0.3,0.1,0.5,3.5,2.315,1.2,0.001004904,3.2,2.2,10,10,10,5.5,0,0.104682331,1.2,4.2,6.8,7.1,,,,4.8,3.5,,3.5,0,1.8,4.4,7.05803469,0.6,2.5,2.2,2.5,2.6,6.1,3.7,5.5,5.2,4.3
Brazil,BRA,3,3.7,6.1,0.1,3.4,5.2,0.7,1.3,1,2.3,2.9,4.6,6.5,3.2,4.4,3.7,6.2,6.2,3.9,3.9,5.2,1.9,3.7,3.5,Medium,136,2.8,6.905,1.3,0.3,,0.8,4.7,2.2,8.7,1.8,3.3,4.1,3,3,6.5,5.9,6.2,6.2,4.6,7.3,5.95,1.7,9.8,2.5,4.666666667,4.1,0.7,3.9,3.9,1.3,2.5,1.9,1.9,3.9,2.8,4.5,5.1,7.1,6.1,1241.0264,5.880261684,0.1,0,0.1,0.1,3.4,164.017,7.4,0.000777149,3,5.2,1.2,1.4,1.3,0.8,0.1,0.044592179,0.5,0.7,2.5,0,,1,1,2.3,10,7,10,6,7.7,1.8,10.63902726,1,1.4,4.6,1.4,5.2,3.9,3.5,9.5,3.2,4.4
Brunei Darussalam,BRN,3.9,1.1,3.1,0,1.3,0,0.4,1.9,,0.8,1.1,4.7,3.2,4,4,2.7,3.3,3.3,2.6,2.6,3,2.5,2.8,3.1,Low,156,1.1,7.536,0.4,0,,0.2,6.4,2.9,7.8,,,5.7,3.9,3.9,4,2.5,3.3,3.3,5.6,6.7,6.15,0,0.2,,0.1,4,0.3,2.6,2.6,,2.5,2.5,2.5,2.6,1.1,,3.1,,3.1,0,0,0,,,0,1.3,0,0,0,0,0,0,,0,1.2,,4.62E-06,0,0.4,3.7,0,,,,0.8,5.2,3.5,5.2,,4.4,7,28.4629981,2.8,4.9,4.7,0.6,3.5,1,1.7,4.6,4,4
Bulgaria,BGR,2.7,1.7,3,0.6,1.8,4.3,0.2,2.4,2,2.3,2.1,5.9,5.1,10,7.8,5.6,5.1,5.1,1.7,1.7,3.6,3.05,3.3,3.7,Medium,119,1.7,4.493,1.6,0.1,,0.9,6,0,7.5,,0.8,3.6,2.7,2.7,5.7,4.5,5.1,5.1,0,1.5,0.75,1.2,1.2,1.4,1.266666667,4.8,0.1,1.7,1.7,3.6,2.5,3.05,3.05,1.7,1.7,,2.9,3.1,3,0,0,0,,1.2,0.6,1.8,21.494,4.4,0.00307052,4.2,4.3,0.2,0.2,0.2,0.4,,3.11E-05,0,0.2,4.7,0,1.8,2.2,2,2.3,5,7.4,5,4,5.5,4.7,77.37656595,7.7,6.2,5.9,0.4,4.2,3.7,2.8,7.3,10,7.8
Burkina Faso,BFA,7.7,9.7,5.4,3.2,7,8.8,4,4.3,3.65,5.7,6.4,2.6,7.5,0,2.5,4.7,6.1,6.1,6.7,6.7,6.4,7.3,6.9,6.3,High,10,9.3,16.772,9,8.7,8.8,8.8,6.2,10,2.9,6.5,9.8,7.1,7.7,7.7,6,6.2,6.1,6.1,9.9,9.6,9.75,1.4,8.3,1.4,3.7,9.8,3.6,6.7,6.7,7.1,7.5,7.3,7.3,6.7,9.3,10,8.2,2.6,5.4,3163.38181,155.6676438,3.1,5.3,1.1,3.2,7,805.639,9.7,0.03964489,7.9,8.8,1.6,1.3,1.45,0.9,10,0.321398499,3.6,4,3.5,5,1.9,5.4,3.65,5.7,3,2.9,3,0,2,4.7,14.98538012,1.4,3.1,2.6,9.1,5.2,8.6,7.6,7.4,0,2.5
Burundi,BDI,6.8,9.6,5.2,4.8,7.3,6.8,3.5,8.8,7.6,7.1,7.2,4.1,6.9,0,2.8,5.4,8,8,7,7,7.5,7.6,7.6,6.5,Very High,8,9.5,17.507,6,6.5,9.4,7.3,8.8,10,1.3,5.4,7.1,6.5,6.8,6.8,8.1,7.8,8,8,9.9,9.1,9.5,1.4,4.1,1.4,2.3,10,6.1,7,7,7.7,7.5,7.6,7.6,7,9.5,9.6,6.9,3.4,5.2,2270.70702,196.9291754,3.9,9.9,0.5,4.8,7.3,160.714,7.4,0.013938071,6.1,6.8,2.2,1.6,1.9,2.1,4.9,0.463150977,5.1,3.5,7.5,10,6.1,9.1,7.6,7.1,,3.7,,0,1.9,10,23.36448598,2.3,6.2,4.1,5.9,7.4,9.5,7.6,6.1,0,2.8
Cabo Verde,CPV,4.7,5,5.3,4.1,4.9,0,1.7,3.7,1.5,1.8,3.5,4.3,4.7,2,3.3,3.4,4.3,4.3,4.7,4.7,4.5,6.45,5.6,4.5,Medium,76,5,9.561,2.9,2.2,,2.6,7.1,3.8,6.6,,,5.8,4.7,4.7,4.2,4.4,4.3,4.3,8.1,7.5,7.8,0.5,2.4,,1.45,9,0.6,4.7,4.7,5.4,7.5,6.45,6.45,4.7,5,,5,5.6,5.3,149.95,272.6680923,5.5,2.9,3.9,4.1,4.9,0,0,0,0,0,1.6,1.3,1.45,2.4,0.1,0.264688982,2.9,1.7,4.9,2.5,1.5,,1.5,1.8,2.9,4.6,2.9,4,3.8,3.6,59.55334988,5.9,4.8,4.3,2.7,4.5,4.3,3.8,5.6,2,3.3
Cambodia,KHM,4.9,7.5,6.3,1.9,5.8,0,2.7,4.7,4.25,3.1,4.6,4.3,5.9,2,3.6,4.1,7.1,7.1,6,6,6.6,5.2,5.9,4.9,Medium,61,6.4,10.799,4.5,3.6,3.4,3.8,6.5,6.5,2.3,5.3,6.5,5.4,4.9,4.9,8,6.1,7.1,7.1,9.6,9.1,9.35,1,6.4,2.9,3.433333333,9.4,1.8,6,6,5.4,5,5.2,5.2,6,6.4,8.3,6.3,,6.3,1229.02062,74.54690135,1.5,2.2,1.9,1.9,5.8,0,0,0,0,0,1.2,0.3,0.75,5.9,0.5,0.321413369,3.6,2.7,5.5,3.8,2.3,6.2,4.25,3.1,5.4,6.9,5.4,6,6.1,2.9,18.69476547,1.8,2.4,4.3,3.9,4.1,6.6,4.9,6.8,2,3.6
Cameroon,CMR,6.4,7.9,6.5,2.1,6.1,9,6.3,2.6,5.8,6.5,6.3,3.2,6.5,0,2.4,4.6,7.1,7.1,6.8,6.8,7,5.6,6.4,5.7,High,31,6.7,15.684,6.8,6.6,9.7,7.7,5.8,7.4,5.6,2.4,7.5,5.7,6.4,6.4,7.5,6.6,7.1,7.1,9.8,8.5,9.15,2.2,,2.5,2.35,9.6,5.9,6.8,6.8,6.2,5,5.6,5.6,6.8,6.7,8.8,7.6,5.4,6.5,5224.15141,201.8887494,4,2.1,0.3,2.1,6.1,1086.004,10,0.041968919,8,9,7.6,6.9,7.25,3.5,7.6,0.626908733,7,6.3,3.6,1.6,7.2,4.4,5.8,6.5,3.6,,3.6,2,2.8,6.3,7.827209071,0.7,3.5,3.2,4.5,6.5,7.7,6.2,6.8,0,2.4
Canada,CAN,2,0,1.7,0,0.4,6.2,0.1,0.6,0.9,2.4,1.5,5.7,3.4,6.8,5.7,3.9,2,2,1.9,1.9,2,0.05,1.1,2,Low,188,0,5.292,0.1,0.1,,0.1,2,3,8.1,0,1.2,2.9,2,2,2.3,1.6,2,2,3.5,6.7,5.1,1.4,2.2,3.2,2.266666667,0,0.1,1.9,1.9,0.1,0,0.05,0.05,1.9,0,,1.1,2.3,1.7,-6.88918,-0.184148325,0,,0,0,0.4,192.915,7.6,0.005156633,4.8,6.2,,,,0.1,,1.34E-07,0,0.1,1.2,0,,0.9,0.9,2.4,9.9,8.3,9.9,10,9.4,2.8,13.19622456,1.2,2,5.7,,5.7,0.9,3.3,3.4,6.8,5.7
Central African Republic,CAF,6.5,10,8.5,10,9.6,9.8,8.8,9.6,7.9,9.2,9.4,1.1,9.3,0.4,2.8,7.3,8,8,9.3,9.3,8.7,9.35,9.1,7.6,Very High,1,10,15.402,8.3,8.9,8.3,8.5,2.9,4.9,4.1,10,,5.5,6.5,6.5,7.5,8.4,8,8,9.8,8.9,9.35,8.8,,8.8,8.8,10,9.2,9.3,9.3,8.7,10,9.35,9.35,9.3,10,9.9,9.1,7.8,8.5,8044.1214,1695.219801,10,10,,10,9.6,684.466,9.5,0.144244506,10,9.8,8,10,9,7.7,9.7,0.793488085,8.8,8.8,9.2,10,5.8,10,7.9,9.2,,,,0,0,3.8,4.815563903,0.4,2.1,1.1,9.5,8.9,9.6,9.3,,0.4,2.8
Chad,TCD,7.7,10,7,7,8.5,8.6,3.6,8.5,6.5,7.2,7.9,2.7,8.4,0,2.8,5.9,8.1,8.1,9.8,9.8,9.1,7.3,8.3,7.2,Very High,4,10,18.008,10,10,9.4,9.8,3.6,7.8,2.3,9.7,9.4,6.6,7.7,7.7,8,8.1,8.1,8.1,9.9,9.6,9.75,9.8,,,9.8,9.8,10,9.8,9.8,7.1,7.5,7.3,7.3,9.8,10,10,9.3,4.6,7,6900.79294,432.7361888,8.7,5.3,,7,8.5,622.171,9.3,0.039015213,7.9,8.6,2.6,2.2,2.4,2.8,4.7,0.390205245,4.3,3.6,6.9,10,3.8,9.2,6.5,7.2,,2.3,,2,2.2,6.3,2.461880559,0.1,3.2,2.7,10,7.9,9.5,9.1,7.7,0,2.8
Chile,CHL,2.9,1.1,4.6,0,1.7,3.4,0.6,1.6,1.1,1.7,1.7,4.9,4.3,4.8,4.7,3.3,3.1,3.1,3,3,3.1,2.55,2.8,3,Low,161,1.1,6.242,0,0,,0,4.7,3,8.8,1,,4.4,2.9,2.9,3.3,2.8,3.1,3.1,7.3,7.3,7.3,1,1.5,1,1.166666667,3.4,0.1,3,3,2.6,2.5,2.55,2.55,3,1.1,,3.8,5.4,4.6,66.29675,3.498133578,0.1,0,0,0,1.7,14.045,3.8,0.000741081,3,3.4,1,2.1,1.55,0.3,,7.91E-07,0,0.6,3.2,0,,1.1,1.1,1.7,8.2,7,8.2,4,6.4,4.7,20.17398041,1.9,3.3,4.9,0.8,3.4,1.8,2,6.6,4.8,4.7
China,CHN,4,3.7,2.8,0,2.6,5.3,0.4,1.8,4.1,3.1,2.9,5.9,3.7,5.6,5.2,4.1,5,5,3.3,3.3,4.2,0.3,2.5,3.4,Low,139,2.8,5.931,1.7,1.2,,1.5,7.2,5,5.9,2.8,,5.2,4,4,5.9,4,5,5,5.5,4.8,5.15,0,0,,0,7.6,0.3,3.3,3.3,0.6,0,0.3,0.3,3.3,2.8,4.5,2.2,3.4,2.8,-820.9995,-0.572610433,0,0,0.1,0,2.6,322.359,8.4,0.000224831,2.2,5.3,0.2,,0.2,1.1,0,0.018396308,0.2,0.4,2.4,1.2,,4.1,4.1,3.1,10,9.5,10,10,9.8,3,10.72099794,1,2,5.9,0.7,4.3,4.6,3.2,4.2,5.6,5.2
Colombia,COL,3.8,3.9,5.9,1.3,3.8,10,0.6,1.2,2.65,5.5,4.7,4.4,5.8,3.2,4.2,4.5,5.8,5.8,4.1,4.1,5,4.2,4.6,4.3,Medium,80,2.8,7.41,1.2,0.4,3.5,1.7,5.5,3.9,8.1,3.1,3.8,4.9,3.8,3.8,6.3,5.2,5.8,5.8,4.8,8.2,6.5,1.2,1.7,1.4,1.433333333,7.4,0.9,4.1,4.1,3.4,5,4.2,4.2,4.1,2.8,4.8,5.5,6.2,5.9,7036.55216,139.7820822,2.8,0.4,0.6,1.3,3.8,5788.087,10,0.114981149,10,10,0.8,,0.8,0.6,0.2,0.067362863,0.7,0.6,2.4,0,4,1.3,2.65,5.5,8.8,6.5,8.8,8,7.8,0.8,10.81568274,1,0.9,4.4,1.1,3.6,3.8,2.8,8.8,3.2,4.2
Comoros,COM,6.6,7.9,5.1,3.9,6.2,0,2.7,7.3,0.9,3.3,4.9,2.7,7.9,0,2.7,3.9,7.9,7.9,5.7,5.7,6.9,9.05,8.2,6,High,19,7.2,14.396,7.1,3.3,8.4,6.3,8.8,5.7,2.9,7.7,8.4,6.7,6.6,6.6,7.5,8.3,7.9,7.9,9.6,7.4,8.5,1.4,,,1.4,9.8,3,5.7,5.7,8.1,10,9.05,9.05,5.7,7.2,8.4,,5.1,5.1,99.70751,117.1801206,2.3,4.9,4.6,3.9,6.2,0,0,0,0,0,0.2,0.1,0.15,0.6,0.1,0.973271547,10,2.7,6,8.6,0.9,,0.9,3.3,,1.1,,0,0.6,5.8,37.07684041,3.6,4.7,2.7,7.2,7.2,9.2,7.9,,0,2.7
Congo,COG,5.9,6.8,6.9,1,5.4,7.4,5.7,9,6.7,7.4,6.5,2.7,6.2,0.8,2.6,4.8,7.8,7.8,6.9,6.9,7.4,5.15,6.4,5.7,High,31,5.8,15.109,8.9,4.5,5.2,6.2,4,6.5,6.7,5.3,5.8,5.7,5.9,5.9,8.1,7.4,7.8,7.8,9.7,8.1,8.9,5.1,,5.6,5.35,9.3,4.2,6.9,6.9,5.3,5,5.15,5.15,6.9,5.8,7.6,7.7,6,6.9,537.18106,99.83842778,2,1,0,1,5.4,160.607,7.4,0.029849806,7.4,7.4,6.2,8.3,7.25,6.8,4.9,0.331602207,3.7,5.7,7.9,10,,6.7,6.7,7.4,3.8,3.3,3.8,4,3.7,3.1,1.727672035,0.1,1.6,2.7,3.9,5.4,9.2,6.2,,0.8,2.6
Congo DR,COD,7.9,9.2,6.5,1.9,6.7,9,5.5,9.2,8.75,8.4,7.7,2.8,7.5,0,2.6,5.7,8.2,8.2,7,7,7.7,5.8,6.9,6.8,Very High,5,8.8,17.862,8.8,9.5,9.6,9.3,5.2,9.1,4.4,8.8,8.3,7.2,7.9,7.9,8.2,8.1,8.2,8.2,9.8,9.1,9.45,3.1,,3.4,3.25,10,5.3,7,7,6.6,5,5.8,5.8,7,8.8,9.6,8.7,4.3,6.5,2553.91,29.42612382,0.6,3.7,1.3,1.9,6.7,3618.886,10,0.041696766,8,9,1.4,0.8,1.1,5.9,7.7,0.640203588,7.1,5.5,8.4,10,8.1,9.4,8.75,8.4,4.9,,4.9,0,2.5,5.2,7.939833705,0.7,3,2.8,4.5,8,9.4,7.3,7.7,0,2.6
Costa Rica,CRI,3.2,2.1,4.8,0.4,2.4,5.2,0.3,2.1,0.4,2.2,2.3,5.2,4,4.4,4.5,3.5,4.3,4.3,3.7,3.7,4,2.75,3.4,3.4,Low,139,2.1,6.957,0.2,0,1.6,0.6,6.6,4,7.9,0.4,3.7,4.5,3.2,3.2,4.4,4.2,4.3,4.3,7.1,8.7,7.9,0.5,1,0.5,0.666666667,5.9,0.3,3.7,3.7,3,2.5,2.75,2.75,3.7,2.1,,3.8,5.8,4.8,226.91994,44.95635417,0.9,0.1,0.3,0.4,2.4,37.165,5.2,0.007362962,5.2,5.2,0.8,1.3,1.05,0.2,0,0.001544112,0,0.3,4.1,0,,0.4,0.4,2.2,5.7,6.2,5.7,6,6,4.3,45.04504505,4.4,4.4,5.2,0.5,1.5,2.8,1.6,6.3,4.4,4.5
Côte d'Ivoire,CIV,6.6,8.3,6.5,0.8,6,7.1,5.2,4.2,5.35,5.6,5.8,4.3,5.8,0.4,2.7,4.4,6.3,6.3,6.8,6.8,6.6,5.3,6,5.6,High,37,7.7,15.75,7.5,4.5,8.1,6.7,6.3,6.9,5.1,6.6,7.7,6.5,6.6,6.6,6.5,6.1,6.3,6.3,9.4,9.6,9.5,2.5,,0,1.25,9.6,6.9,6.8,6.8,5.6,5,5.3,5.3,6.8,7.7,8.8,8.8,4.1,6.5,824.52616,32.06207799,0.6,1.5,0.3,0.8,6,306.866,8.3,0.011932625,5.9,7.1,5.4,6.4,5.9,2.7,3.5,0.796356153,8.8,5.2,3.6,4.7,4.8,5.9,5.35,5.6,4.7,5.6,4.7,4,4.8,6.4,10.06289308,0.9,3.7,4.3,8.5,3.3,5.6,5.8,5.7,0.4,2.7
Croatia,HRV,2.4,1.3,1.6,0.8,1.3,1.2,0.1,1.7,0.55,0.9,1.1,7.6,5.6,9.6,8.1,5.6,4.7,4.7,2.1,2.1,3.5,2.6,3.1,3.5,Medium,136,1.3,4.525,0.4,0.1,,0.3,6.2,0,5.7,,2,3.5,2.4,2.4,5.3,4.1,4.7,4.7,2.5,3.1,2.8,1.2,0.7,,0.95,4.4,0.1,2.1,2.1,2.7,2.5,2.6,2.6,2.1,1.3,,1.6,1.5,1.6,0,0,0,,1.6,0.8,1.3,1.016,0,0.000245987,2.3,1.2,0.2,,0.2,0.2,,3.63E-06,0,0.1,3.3,0,0.7,0.4,0.55,0.9,5.8,8,5.8,8,7.3,5.7,148.3202287,10,7.9,7.6,0.2,4.8,3.3,2.8,8.4,9.6,8.1
Cuba,CUB,2.9,2.4,4.2,1.6,2.7,0,0.4,0.8,0.4,0.4,1.6,6.7,4.5,7.2,6.4,4.4,5.4,5.4,1,1,3.5,2.5,3,3.4,Low,139,2.4,5.183,0.8,0.8,1.5,1,6.8,0.1,7.7,0.7,,3.8,2.9,2.9,5.2,5.5,5.4,5.4,0,3.5,1.75,0,0,,0,1.8,0.4,1,1,0,5,2.5,2.5,1,2.4,,4.2,,4.2,624.00999,55.05897304,1.1,2,,1.6,2.7,0.319,0,2.81E-05,0,0,0.8,1.1,0.95,0.1,,0.003605776,0,0.4,1.5,0,,0.4,0.4,0.4,4.4,6.7,4.4,10,7,6.3,62.9462608,6.3,6.3,6.7,0.1,7.8,5.7,4.5,,7.2,6.4
Cyprus,CYP,2.9,0.5,1.7,0.4,0.8,9,0.1,3.1,0.8,4.5,2.9,6.9,4.4,5.6,5.6,4.4,3.7,3.7,2.5,2.5,3.1,2.55,2.8,3.3,Low,146,0.5,5.452,0.1,0.1,,0.1,7,1.5,6.7,,1.9,4.3,2.9,2.9,4.2,3.2,3.7,3.7,5.1,5.8,5.45,0.3,1.9,3.1,1.766666667,2.5,0.1,2.5,2.5,2.6,2.5,2.55,2.55,2.5,0.5,,1.1,2.3,1.7,0,0,0,,0.7,0.4,0.8,249.321,8,0.208014691,10,9,0.2,0.3,0.25,0.1,,3.34E-06,0,0.1,5.9,0.2,0.5,1.1,0.8,4.5,4,6.4,4,8,6.1,5.2,205.6277056,10,7.6,6.9,0.3,3.1,1.9,1.8,7,5.6,5.6
Czech Republic,CZE,2.8,0.2,1,0.3,0.4,2.3,0.1,1.6,0.6,1.2,0.8,6.8,5.3,9.6,7.8,5.3,3.8,3.8,0.9,0.9,2.5,2.9,2.7,3.4,Low,139,0.2,5.198,0.1,0,,0.1,7.1,0.9,7.4,,1,4.1,2.8,2.8,4.4,3.2,3.8,3.8,0,1.9,0.95,0.5,1.5,,1,1.7,0,0.9,0.9,3.3,2.5,2.9,2.9,0.9,0.2,,1.8,0.2,1,0,0,0,,0.5,0.3,0.4,4.121,2.1,0.000385529,2.5,2.3,0.2,0.2,0.2,0.1,,9.36E-08,0,0.1,3.1,0,1.1,0.1,0.6,1.2,6.9,7.5,6.9,2,5.5,6.2,271.879855,10,8.1,6.8,,4.1,2.1,3.1,7.4,9.6,7.8
Denmark,DNK,2.9,0,0.7,0.1,0.2,5.2,0.1,1.4,0.7,2.1,1.2,8.2,2.7,8.8,7.1,4.8,1.3,1.3,1.1,1.1,1.2,0.2,0.7,2.1,Low,183,0,5.238,0,0,,0,7.1,1.4,8.8,0,,4.3,2.9,2.9,1.3,1.3,1.3,1.3,0,6.9,3.45,0.2,1.9,0.3,0.8,0,0,1.1,1.1,0.4,0,0.2,0.2,1.1,0,,0.5,0.8,0.7,-82.67261,-14.32334923,0,,0.1,0.1,0.2,39.35,5.3,0.00681754,5.1,5.2,0.4,0.2,0.3,0.1,,0,0,0.1,2.8,0,1.4,0,0.7,2.1,,7.7,,10,8.9,4.9,353.5234504,10,7.5,8.2,,3.8,0.3,2.1,3.2,8.8,7.1
Djibouti,DJI,5.4,8.1,4.2,4.9,6.3,6.1,2.4,5.1,,4.7,5.6,3.7,6.3,1.6,3.3,4.6,6.9,6.9,6.5,6.5,6.7,6.9,6.8,5.5,High,42,8.1,10.278,4,4.1,,4.1,5.4,3.4,7.8,7.3,,6,5.4,5.4,7,6.8,6.9,6.9,9.4,8.4,8.9,5.3,2.9,5.3,4.5,9.8,2.8,6.5,6.5,6.3,7.5,6.9,6.9,6.5,8.1,,,4.2,4.2,576.27152,591.92376,10,3.9,0.7,4.9,6.3,28.257,4.8,0.029024495,7.3,6.1,2.6,2.9,2.75,4.9,0.8,0.113563972,1.3,2.4,5.5,4.6,,,,4.7,,,,2,2,9.6,11.21656601,1,5.3,3.7,,8.1,4.4,6.3,,1.6,3.3
Dominica,DMA,3.9,3.5,,3.1,3.4,0,0.6,2.3,,1,2.3,6.4,4.1,,5.3,4,5.1,5.1,5.9,5.9,5.5,4,4.8,4.2,Medium,88,3.5,,2.5,0.6,,1.6,6.6,1.3,7,,,5,3.9,3.9,4.5,5.6,5.1,5.1,7.3,,7.3,1.4,3.1,,2.25,8.2,,5.9,5.9,3,5,4,4,5.9,3.5,,,,,10.57801,147.3096312,2.9,3.5,3,3.1,3.4,0,0,0,0,0,,,,0,,0.096368093,1.1,0.6,4.1,0.4,,,,1,,2.1,,8,5.1,5.3,133.3333333,10,7.7,6.4,,4.8,3.3,4.1,,,5.3
Dominican Republic,DOM,4.2,3.8,5.6,1,3.6,0,1.3,3.1,1.75,1.6,2.7,5.5,6.4,2.4,4.2,3.5,6.5,6.5,4.9,4.9,5.8,5.1,5.5,4.3,Medium,80,3.1,9.373,1.8,0.6,4.5,2.3,7.8,4.1,8.1,1.6,3.7,5.1,4.2,4.2,7.2,5.8,6.5,6.5,6.1,8.1,7.1,2.5,,5.9,4.2,7,1.1,4.9,4.9,5.2,5,5.1,5.1,4.9,3.1,4.4,6,5.2,5.6,145.13306,13.51463275,0.3,0.1,2.7,1,3.6,0.503,0,4.68E-05,0,0,2,1.3,1.65,0.8,0,0.261250418,2.9,1.3,4.7,1.5,3.4,0.1,1.75,1.6,,7,,2,4.5,7,60.01655629,6,6.5,5.5,1.3,5.9,3.6,3.6,9.2,2.4,4.2
Ecuador,ECU,3.5,3.8,5.1,0.8,3.4,6,0.7,2.9,2.6,3.3,3.4,4.3,6.4,2,3.7,3.6,5.9,5.9,4.3,4.3,5.2,3.85,4.6,3.9,Medium,104,2.8,9.569,1.3,1,1.9,1.4,6.1,4,6.4,2.3,4.4,4.6,3.5,3.5,6.2,5.5,5.9,5.9,4.9,8.2,6.55,2.4,4.4,2.5,3.1,7,0.7,4.3,4.3,2.7,5,3.85,3.85,4.3,2.8,4.6,5.2,4.9,5.1,1140.12008,65.62349424,1.3,0.3,0.9,0.8,3.4,118.614,6.9,0.006827233,5.1,6,0.6,0.7,0.65,0.8,0.1,0.106405577,1.2,0.7,4.8,1,2.2,3,2.6,3.3,6.8,5.5,6.8,8,6.8,1.1,24.96376228,2.4,1.8,4.3,1.5,5.5,4.3,3.8,9,2,3.7
Egypt,EGY,3,4.4,3.9,1.5,3.6,6.6,0.2,0,3.7,3.1,3.4,5.8,6,3.2,4.6,4,6.4,6.4,4.4,4.4,5.5,2.15,4,3.6,Medium,131,4,12.754,0.6,0.1,1,0.6,6.7,4.1,4.3,0.5,5.3,4.2,3,3,6.5,6.2,6.4,6.4,8,8.2,8.1,0.8,0.8,,0.8,8.4,0.4,4.4,4.4,1.8,2.5,2.15,2.15,4.4,4,4.8,6,1.7,3.9,2115.15017,21.06973511,0.4,0.6,3.4,1.5,3.6,408.704,8.7,0.00407124,4.5,6.6,0.2,0.1,0.15,0.2,0,0.050021738,0.6,0.2,0,0,3,4.4,3.7,3.1,7.7,7.3,7.7,8,7.7,7,8.337937616,0.7,3.9,5.8,5.4,5.4,5.5,5.4,6.6,3.2,4.6
El Salvador,SLV,3.8,5.2,4.3,2.9,4.4,0,1.2,2.8,1.1,1.3,3,6.7,6.7,3.6,5.2,4.2,6.3,6.3,4.5,4.5,5.5,3.75,4.7,4.2,Medium,88,4.7,8.95,1.4,0.4,0.9,0.9,8.3,3.1,7.2,2.5,5.2,5.3,3.8,3.8,6.6,5.9,6.3,6.3,6.1,8.5,7.3,2.4,2.2,2,2.2,8.1,0.5,4.5,4.5,2.5,5,3.75,3.75,4.5,4.7,5.6,5.3,3.3,4.3,396.54883,61.4466193,1.2,0.7,6.9,2.9,4.4,0.066,0,1.02E-05,0,0,1.2,1.1,1.15,1.3,0,0.218648961,2.4,1.2,4.3,1.3,1.3,0.9,1.1,1.3,6,5.5,6,10,7.2,6.9,53.08880309,5.3,6.1,6.7,2.4,2.7,7.1,4.1,9.2,3.6,5.2
