COUNTRY,ISO3,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Food Security,GBV,Vulnerable Groups,VULNERABILITY (Hazard-independent),Movements,Behaviour,Demographic and co-morbidity,COVID-19 VULNERABILITY,VULNERABILITY,Governance,Institutional,Access to health care,physical Infrastructure,LACK OF COPING CAPACITY (Hazard-independent),COVID-19 LACK OF COPING CAPACITY,LACK OF COPING CAPACITY,INFORM COVID-19 RISK,COVID-19 RISK CLASS,Rank,Human,Children U5,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Population living in slums (% of urban population),Household size,Population,P2P,Covid-19 Hazard & Exposure,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Physicians Density,Hospital bed,Health system capacity,Coverage of DTP3 vaccine,Coverage of measles-containing vaccine,Coverage of pneumococcal conjugate vaccine,Immunization coverage,Per capita public and private expenditure on health care,Maternal Mortality Ratio,Access to health care Index,INFORM Infrastructure,IHR,Operational readiness index,Health capacity specific to Covid-19,Covid-19 Lack of coping capacity,Infrastructure,Human Development Index,Multidimensional Poverty Index,Gender Inequality Index,Gini Index,Inequality,Total public Aid (M US$),Public Aid per capita (US$),Public Aid per capita (US$),Net ODA received (% of GNI),Volume of remittances,Economic Dependency Index,INFORM Socio-Economic Vulnerability,"Total Uprooted people (1,000 people)",Uprooted people (total population),Total/Pop,Total Uprooted people (percentage of the total population),Uprooted people,Estimated number of people living with HIV - Adult (>15) rate,"Number of new HIV infections per 1,000 uninfected population",HIV,Incidence of Tuberculosis,"Malaria incidence per 1,000 population at risk",People requiring interventions against neglected tropical diseases (% of total population),People requiring interventions against neglected tropical diseases,Health Conditions,Food Availability Score,Food Utilization Score,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence,Attitudes towards violence,GBV,INFORM Vulnerable Groups,International tourism(number of arrivals),International tourism(number of arrivals),Air transport(passengers carried),Point of entry,International movements,Access to Cities,Road density,Road density,Internal movements,Movements,Adult literacy rate,Mobile cellular subscriptions,Internet users,Awareness,Trust,Demographic and Co-morbidities,Covid-19 Vulnerability
Bahamas,BHS,3.4,1.9,4.7,10,4.6,0.9,1.6,4.6,,2.5,3.6,4.5,3.6,4.4,4.2,3.9,3.8,3.8,3.5,3.5,3.7,5,4.4,3.9,Medium,104,1.9,6.845,0.6,0.2,,0.4,5.3,2.3,8.3,,3.5,4.9,3.4,3.4,3.6,3.9,3.8,3.8,5.2,6.5,5.85,0.8,3.9,1,1.9,5.3,0.8,3.5,3.5,5,5,5,5,3.5,1.9,,4.7,,4.7,341.49192,876.7758533,10,,,10,4.6,0.042,0,0.000107834,1.8,0.9,6.6,2.2,4.4,0.3,,0.010115896,0.1,1.6,4.8,4.4,,,,2.5,5.2,5.4,5.2,4,4.9,3.5,47.95204795,4.7,4.1,4.5,,5.2,2,3.6,,4.4,4.2
Bahrain,BHR,6.4,1.2,2.8,0,1.3,1.1,0.1,1.7,,1,1.2,8.6,2.8,2.8,4.3,2.9,5.2,5.2,3,3,4.2,1.85,3.1,3.9,Medium,104,1.2,6.6,0,0,,0,10,10,8.9,,,9.6,6.4,6.4,5.8,4.6,5.2,5.2,7.7,7.6,7.65,0.3,0,0.3,0.2,3.8,0.2,3,3,1.2,2.5,1.85,1.85,3,1.2,,2.8,,2.8,0,0,0,,,0,1.3,0.319,0,0.000194374,2.1,1.1,0.2,0.2,0.2,0.2,,1.22E-06,0,0.1,2.7,0.7,,,,1,6.9,7.6,6.9,10,8.2,8,447.3684211,10,9,8.6,0.6,3.4,0.4,1.5,4.1,2.8,4.3
Bangladesh,BGD,5.7,7.4,4.5,1.8,5.3,7.7,2,4.3,4.85,5.1,5.2,6.1,7,1.2,3.9,4.6,7,7,5.3,5.3,6.2,4.6,5.5,5.2,High,48,5.7,8.843,5.8,0.5,6.5,4.3,10,6.4,3.7,5.5,6.2,6.4,5.7,5.7,7.4,6.5,7,7,8.7,9.2,8.95,0.3,0.5,0.3,0.366666667,9.9,1.9,5.3,5.3,4.2,5,4.6,4.6,5.3,5.7,8.5,7.1,1.9,4.5,22567.42195,138.4112337,2.8,0.7,1.9,1.8,5.3,1285.216,10,0.007882528,5.3,7.7,0.2,0.1,0.15,4,0,0.345542572,3.8,2,5.3,3.2,6.3,3.4,4.85,5.1,6.9,,6.9,6,6.5,9.3,18.43742798,1.8,5.6,6.1,5,5.1,8.2,6.1,7.9,1.2,3.9
Barbados,BRB,3,2.6,3.4,1.1,2.4,0,1.1,2,,1.1,1.8,7.3,4.2,8,6.9,4.8,4,4,2.9,2.9,3.5,5,4.3,4,Medium,98,1.7,5.269,0.3,0.3,1.2,0.6,9.4,0.2,3.1,,,4.2,3,3,3.8,4.1,4,4,3.8,2.8,3.3,1.5,3.7,1.7,2.3,5.7,0.3,2.9,2.9,,5,5,5,2.9,1.7,3.4,3.4,,3.4,20.97531,73.07935656,1.5,,0.7,1.1,2.4,0.006,0,2.09E-05,0,0,2.6,3.8,3.2,0,,0.001386658,0,1.1,4,0,,,,1.1,,4.6,,,4.6,9.9,418.6046512,10,10,7.3,0.1,4.4,2,2.2,6.1,8,6.9
Belarus,BLR,2.9,1.7,0.9,0.4,1.2,1.8,0.6,1.2,0.4,1,1.1,7.1,2.2,8,6.3,4.2,5.6,5.6,1.6,1.6,3.9,5,4.5,3.8,Medium,112,1.7,5.886,0.2,0.6,,0.4,5.6,0.9,7.9,5,1.2,4.1,2.9,2.9,5.5,5.6,5.6,5.6,0,0,0,0.3,0.2,,0.25,6.3,0,1.6,1.6,,5,5,5,1.6,1.7,,1.6,0.1,0.9,140.45497,14.85917188,0.3,0.1,0.8,0.4,1.2,2.428,1.3,0.000256866,2.3,1.8,0.8,1.6,1.2,0.7,,0,0,0.6,2.3,0,,0.4,0.4,1,6.1,7.6,6.1,,6.9,4.6,98.56586664,9.9,7.3,7.1,0.1,4,2.6,2.2,,8,6.3
Belgium,BEL,3.4,0,0.7,0.4,0.3,5.4,0.1,0.2,0.85,2,1.2,7.9,4,8,7,4.7,2.6,2.6,0.8,0.8,1.7,1,1.4,2.8,Low,168,0,5.511,0.1,0,,0.1,8.6,0.9,9.8,,0.9,5.1,3.4,3.4,2.5,2.7,2.6,2.6,1.7,2.2,1.95,0.2,2.4,0.8,1.133333333,0,0.1,0.8,0.8,2,0,1,1,0.8,0,,0.6,0.7,0.7,-11.65501,-1.010025196,0,,0.8,0.4,0.3,61.718,6,0.005348493,4.8,5.4,,,,0.2,,1.04E-06,0,0.1,0.4,0,1.6,0.1,0.85,2,7.8,7.3,7.8,6,7,7.6,495.3764861,10,8.8,7.9,,5.1,1.2,3.2,4.7,8,7
Belize,BLZ,2.6,4.1,5.2,1.2,3.7,3.6,1.3,2.4,,2.5,3.1,3.8,7.2,2.4,4,3.6,6.2,6.2,4.6,4.6,5.5,5.85,5.7,3.8,Medium,112,3.6,10.074,1.3,0.3,1,0.9,4.1,4.4,4.6,0.6,,3.4,2.6,2.6,,6.2,6.2,6.2,7.2,8.5,7.85,1.9,1.9,,1.9,8.3,0.4,4.6,4.6,6.7,5,5.85,5.85,4.6,3.6,4.6,5.2,,5.2,12.05,30.86965321,0.6,1.3,1.6,1.2,3.7,3.342,1.7,0.008561525,5.4,3.6,3.6,5.2,4.4,0.7,0,0.017684084,0.2,1.3,4,0.8,,,,2.5,5.3,4.1,5.3,2,3.8,4.8,26.30425252,2.6,3.7,3.8,,5.9,5.5,5.7,8.7,2.4,4
Benin,BEN,7,8.7,7,1.8,6.6,1.3,4.5,2.4,4.4,3.3,5.2,2.9,7.9,0.4,2.9,4.1,6,6,6.8,6.8,6.4,7,6.7,5.8,High,27,7.6,15.882,9.3,5.6,8.9,7.9,6.7,7.8,4.7,6.6,7.4,6.6,7,7,5.9,6.1,6,6,9.6,9.5,9.55,2.9,,4.1,3.5,9.9,4.4,6.8,6.8,6.5,7.5,7,7,6.8,7.6,9.5,8.2,5.7,7,630.01228,53.38566382,1.1,3.7,0.6,1.8,6.6,1.494,0.6,0.000126598,1.9,1.3,2,2,2,1.1,9.2,0.500758019,5.6,4.5,3.1,1.7,,4.4,4.4,3.3,,3.6,,0,1.8,6.8,11.52891096,1.1,4,2.9,9,6,8.8,7.9,7.9,0.4,2.9
Bhutan,BTN,3.9,7.2,4.5,1.9,5.2,0,1.5,4.3,8.5,4.5,4.9,2.4,5,1.6,2.7,3.9,3.8,3.8,5,5,4.4,4.85,4.6,4.1,Medium,91,5.7,8.329,3.4,0.5,2,2,4.3,5.9,4.1,,,4.8,3.9,3.9,3.2,4.3,3.8,3.8,9.1,7.9,8.5,0.2,0,,0.1,9.2,2,5,5,4.7,5,4.85,4.85,5,5.7,8.3,5.8,3.1,4.5,70.07,91.82354992,1.8,3,0.8,1.9,5.2,0,0,0,0,0,0.2,,0.2,2.4,0,0.307309453,3.4,1.5,5.3,3.3,,8.5,8.5,4.5,3.6,3.5,3.6,4,3.7,1.8,4.16731781,0.3,1.1,2.4,6.1,5.5,5.8,5.8,4.1,1.6,2.7
Bolivia,BOL,4.6,5.9,5.4,1.2,4.6,0.9,1.1,5,3.9,2.9,3.8,4.6,6.7,2,3.8,3.8,6.3,6.3,5,5,5.7,7.5,6.7,4.9,Medium,61,3.9,10.311,4.4,1.2,7.5,4.4,3.4,3.8,6.9,5.5,3.8,4.7,4.6,4.6,6.9,5.6,6.3,6.3,6,8.7,7.35,2.5,,2.7,2.6,8.5,1.7,5,5,,7.5,7.5,7.5,5,3.9,7.3,5.9,4.8,5.4,626.59012,54.42409179,1.1,1.2,1.2,1.2,4.6,0.856,0,7.44E-05,1.7,0.9,0.6,0.8,0.7,2,0,0.154022782,1.7,1.1,6,4,5.9,1.9,3.9,2.9,6.5,5.1,6.5,10,7.2,2.9,8.7695006,0.8,1.9,4.6,1.6,5.1,6,4.2,9.2,2,3.8
