"y","label"
"5","Sweden"
"6","Taiwan"
"7","Russia"
"8","Spain"
"8","Brazil"
"8","India"
"9","Italy"
"9","Australia"
"12","Canada"
"13","South Korea"
"13","Netherlands"
"15","Switzerland"
"28","Britain"
"32","Germany"
"32","France"
"68","Japan"
"73","China"
"132","US"
