Country,ISO,Code_Region,YEAR1,Deaths,Injured,Missing,Houses_Destroyed,Damaged_houses,Victims,Affected,Relocated,Evacuated,LossesUSD,Losses_Local,Educational_centres,Hospitals,Crops_per_ha,Lost_cattle,roads_mts,
Kisumu,"KSM	",17,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Siaya,"SYA	",38,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Baringo,BAR,1,2002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bungoma,"BGM	",3,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Busia,"BSI	",4,2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Elgeiyo Marakwet,"EMT	",11,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Embu,"EMB	",5,2002,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kakamega,"KKG	",10,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kericho,"KRC	",12,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kiambu,"KMB	",13,2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kirinyaga,"KRN	",15,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kisii,"KSS	",16,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kisumu,"KSM	",17,2002,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kitui,"KTI	",18,2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laikipia,"LKP	",20,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Machakos,"MCK	",22,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Meru,"MRU	",26,2002,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Migori,"MGR	",27,2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Muranga,"MRN	",29,2002,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nairobi,"NRB	",30,2002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nakuru,"NKR	",31,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Siaya,"SYA	",38,2002,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Turkana,"TRN	",43,1998,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Turkana,"TRN	",43,2002,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Baringo,BAR,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Busia,"BSI	",4,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Elgeiyo Marakwet,"EMT	",11,2003,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kericho,"KRC	",12,2003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
