Alpha_ID,Country,Iso,myID,Totalpops,pop_male,Malepops,pop_female,Femalepops,pop_av_annual_g_rate,pop_active,Activpops,pop_0_14_years,zero214yrspop,pop_15_64_years,Fifteen264yrspop,pop_65_more_years,Morethan65yrspop,pop_econ_activ_agric,pop_crude_birth_rate,pop_crude_death_rate,pop_total_fertility_rt,pop_proportion_urban,pop_life_exp_at_birth,pop_dependency_ratio,helt_u_five_mort_rt_all,helt_infant_mort_rt_all,helt_births_reg_per_1000,helt_deaths_reg_per_1000,helt_mort_rt_neonatal
43,Sierra Leone,Sle,46,6.453,3193,3.193,3260,3.26,2.2,2398,2.398,2734,2.734,3547,3.547,172,0.172,58.8,35.4,13.3,4.5,39.1,51.3,81.9,120.4,87.1,35.4,13.30,34.90
44,Somalia,Som,47,10.787,5368,5.368,5419,5.419,3.2,2884,2.884,5038,5.038,5444,5.444,305,0.305,94.9,43.4,11.8,6.4,40.8,55.7,98.1,136.8,85,43.4,11.80,39.70
45,South Africa,Zaf,48,54.49,26797,26.797,27693,27.693,0.8,15308,15.308,15933,15.933,35815,35.815,2743,2.743,6.7,20.4,12.4,2.3,63.6,57.7,52.1,40.5,33.6,20.4,12.40,11.00
55,South Sudan,Ssd,49,12.34,6179,6.179,6161,6.161,2.5,6,0.006,5193,5.193,6719,6.719,428,0.428,0,36.4,11.4,4.9,18.5,56.1,83.7,92.6,60.3,36.4,11.40,39.30
46,Sudan,Sdn,50,40.235,20197,20.197,20038,20.038,2.5,9954,9.954,16296,16.296,22599,22.599,1339,1.339,76.6,32.6,7.7,4.3,33.3,63.7,78,70.1,47.6,32.6,7.70,29.80
47,Swaziland,Swz,51,1.287,636,0.636,651,0.651,1.5,311,0.311,481,0.481,760,0.76,46,0.046,43.4,29.4,14.5,3.2,21.3,48.9,69.3,60.7,44.5,29.4,14.50,14.20
48,Tanzania,Tza,52,53.47,26574,26.574,26896,26.896,3.2,22284,22.284,24168,24.168,27590,27.59,1712,1.712,87.1,38.5,6.7,5.1,30.9,65.5,93.8,48.7,35.2,38.5,6.70,18.80
49,Togo,Tgo,53,7.305,3609,3.609,3695,3.695,2.6,3150,3.15,3085,3.085,4017,4.017,202,0.202,44,35.1,8.7,4.5,39.2,60.2,81.8,78.4,52.3,35.1,8.70,26.70
50,Tunisia,Tun,54,11.254,5561,5.561,5692,5.692,1.1,3503,3.503,2628,2.628,7771,7.771,854,0.854,23,17.9,6.6,2.1,66.7,75,44.8,14,12.1,17.9,6.60,8.20
51,Uganda,Uga,55,39.032,19507,19.507,19525,19.525,3.3,16598,16.598,18771,18.771,19290,19.29,971,0.971,75.7,42.5,9.3,5.7,16.6,59.2,102.3,54.6,37.7,42.5,9.30,18.70
53,Zambia,Zmb,57,16.212,8094,8.094,8118,8.118,3.1,5899,5.899,7444,7.444,8297,8.297,472,0.472,62.5,39.7,8.7,5.3,39.2,60.8,95.4,64,43.3,39.7,8.70,21.40
54,Zimbabwe,Zwe,58,15.603,7688,7.688,7915,7.915,2.5,6809,6.809,6491,6.491,8649,8.649,463,0.463,50,34.5,9.1,3.9,31.2,59.2,80.4,70.7,46.6,34.5,9.10,23.50
